Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,Specialized,256,0.01,2909715,1,1
GauSei,SparseRAJA,256,0.01,13025499,1,1
GauSei,Specialized,256,0.01,156589869,0.0778216,0
GauSei,SparseRAJA,256,0.01,276189617,0.547437,0
GauSei,Specialized,256,0.01,3126010,1,1
GauSei,SparseRAJA,256,0.01,14339446,1,1
GauSei,Specialized,256,0.01,155312281,0.0778216,0
GauSei,SparseRAJA,256,0.01,278520308,0.547437,0
GauSei,Specialized,256,0.01,3117897,1,1
GauSei,SparseRAJA,256,0.01,14539963,1,1
GauSei,Specialized,256,0.01,155000443,0.0778216,0
GauSei,SparseRAJA,256,0.01,279340664,0.547437,0
GauSei,Specialized,256,0.01,3203148,1,1
GauSei,SparseRAJA,256,0.01,14340268,1,1
GauSei,Specialized,256,0.01,155366016,0.0778216,0
GauSei,SparseRAJA,256,0.01,277628383,0.547437,0
GauSei,Specialized,256,0.01,3018503,1,1
GauSei,SparseRAJA,256,0.01,14044376,1,1
GauSei,Specialized,256,0.01,155135820,0.0778216,0
GauSei,SparseRAJA,256,0.01,276730578,0.547437,0
GauSei,Specialized,512,0.0025,4428408,1,1
GauSei,SparseRAJA,512,0.0025,19220948,1,1
GauSei,Specialized,512,0.0025,422731372,0.251463,0
GauSei,SparseRAJA,512,0.0025,631685429,0.502479,0
GauSei,Specialized,512,0.0025,4457035,1,1
GauSei,SparseRAJA,512,0.0025,19987331,1,1
GauSei,Specialized,512,0.0025,424320163,0.251463,0
GauSei,SparseRAJA,512,0.0025,627702550,0.502479,0
GauSei,Specialized,512,0.0025,4567760,1,1
GauSei,SparseRAJA,512,0.0025,19508871,1,1
GauSei,Specialized,512,0.0025,422845115,0.251463,0
GauSei,SparseRAJA,512,0.0025,627271500,0.502479,0
GauSei,Specialized,512,0.0025,4438362,1,1
GauSei,SparseRAJA,512,0.0025,19848873,1,1
GauSei,Specialized,512,0.0025,424793236,0.251463,0
GauSei,SparseRAJA,512,0.0025,630079425,0.502479,0
GauSei,Specialized,512,0.0025,4300744,1,1
GauSei,SparseRAJA,512,0.0025,19551491,1,1
GauSei,Specialized,512,0.0025,423261031,0.251463,0
GauSei,SparseRAJA,512,0.0025,625573333,0.502479,0
GauSei,Specialized,1024,0.000625,7656685,1,1
GauSei,SparseRAJA,1024,0.000625,30302145,1,1
GauSei,Specialized,1024,0.000625,767958105,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1146967204,0.568675,0
GauSei,Specialized,1024,0.000625,7657854,1,1
GauSei,SparseRAJA,1024,0.000625,31029667,1,1
GauSei,Specialized,1024,0.000625,763195799,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1158095041,0.568675,0
GauSei,Specialized,1024,0.000625,7607157,1,1
GauSei,SparseRAJA,1024,0.000625,30772473,1,1
GauSei,Specialized,1024,0.000625,766073009,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1160892835,0.568675,0
GauSei,Specialized,1024,0.000625,7643687,1,1
GauSei,SparseRAJA,1024,0.000625,30653971,1,1
GauSei,Specialized,1024,0.000625,763030400,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1158052932,0.568675,0
GauSei,Specialized,1024,0.000625,7594110,1,1
GauSei,SparseRAJA,1024,0.000625,30477451,1,1
GauSei,Specialized,1024,0.000625,768610477,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1147159029,0.568675,0
GauSei,Specialized,2048,0.00015625,13056299,1,1
GauSei,SparseRAJA,2048,0.00015625,48016739,1,1
GauSei,Specialized,2048,0.00015625,1509830597,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2323047051,0.670092,0
GauSei,Specialized,2048,0.00015625,12896347,1,1
GauSei,SparseRAJA,2048,0.00015625,48281689,1,1
GauSei,Specialized,2048,0.00015625,1512372097,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2314001173,0.670092,0
GauSei,Specialized,2048,0.00015625,12931898,1,1
GauSei,SparseRAJA,2048,0.00015625,48108031,1,1
GauSei,Specialized,2048,0.00015625,1515190923,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2327581790,0.670092,0
GauSei,Specialized,2048,0.00015625,12928220,1,1
GauSei,SparseRAJA,2048,0.00015625,48177262,1,1
GauSei,Specialized,2048,0.00015625,1507298991,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2325675479,0.670092,0
GauSei,Specialized,2048,0.00015625,12959139,1,1
GauSei,SparseRAJA,2048,0.00015625,48081163,1,1
GauSei,Specialized,2048,0.00015625,1507867615,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2317036721,0.670092,0
GauSei,Specialized,4096,3.90625e-05,26007805,1,1
GauSei,SparseRAJA,4096,3.90625e-05,84612066,1,1
GauSei,Specialized,4096,3.90625e-05,2693675320,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,4141693486,0.817107,0
GauSei,Specialized,4096,3.90625e-05,26113518,1,1
GauSei,SparseRAJA,4096,3.90625e-05,84633287,1,1
GauSei,Specialized,4096,3.90625e-05,2605696324,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,4493273505,0.817107,0
GauSei,Specialized,4096,3.90625e-05,27378399,1,1
GauSei,SparseRAJA,4096,3.90625e-05,86427962,1,1
GauSei,Specialized,4096,3.90625e-05,2687612334,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,4008105157,0.817107,0
GauSei,Specialized,4096,3.90625e-05,27433241,1,1
GauSei,SparseRAJA,4096,3.90625e-05,85583609,1,1
GauSei,Specialized,4096,3.90625e-05,2737294784,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,3991583391,0.817107,0
GauSei,Specialized,4096,3.90625e-05,27000785,1,1
GauSei,SparseRAJA,4096,3.90625e-05,85603677,1,1
GauSei,Specialized,4096,3.90625e-05,2689721664,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,4441343141,0.817107,0
GauSei,Specialized,8192,9.76563e-06,51620288,1,1
GauSei,SparseRAJA,8192,9.76563e-06,161946752,1,1
GauSei,Specialized,8192,9.76563e-06,5605829053,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,8214872763,0.900204,0
GauSei,Specialized,8192,9.76563e-06,51010170,1,1
GauSei,SparseRAJA,8192,9.76563e-06,161574164,1,1
