Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,Specialized,256,0.1,37547579,1,1
GauSei,SparseRAJA,256,0.1,83392594,1,1
GauSei,Specialized,256,0.1,1529674623,0.00389108,0
GauSei,SparseRAJA,256,0.1,4349058498,0.891123,0
GauSei,Specialized,256,0.1,37567241,1,1
GauSei,SparseRAJA,256,0.1,84178276,1,1
GauSei,Specialized,256,0.1,1529999073,0.00389108,0
GauSei,SparseRAJA,256,0.1,4349502051,0.891123,0
GauSei,Specialized,256,0.1,37574029,1,1
GauSei,SparseRAJA,256,0.1,84531551,1,1
GauSei,Specialized,256,0.1,1529574198,0.00389108,0
GauSei,SparseRAJA,256,0.1,4349310842,0.891123,0
GauSei,Specialized,256,0.1,37505946,1,1
GauSei,SparseRAJA,256,0.1,83424074,1,1
GauSei,Specialized,256,0.1,1530047288,0.00389108,0
GauSei,SparseRAJA,256,0.1,4349921833,0.891123,0
GauSei,Specialized,256,0.1,37599786,1,1
GauSei,SparseRAJA,256,0.1,83312267,1,1
GauSei,Specialized,256,0.1,1529854838,0.00389108,0
GauSei,SparseRAJA,256,0.1,4349395398,0.891123,0
GauSei,Specialized,256,0.1,37582829,1,1
GauSei,SparseRAJA,256,0.1,87122223,1,1
GauSei,Specialized,256,0.1,1530995255,0.00389108,0
GauSei,SparseRAJA,256,0.1,4347572752,0.891123,0
GauSei,Specialized,512,0.025,38103173,1,1
GauSei,SparseRAJA,512,0.025,97442917,1,1
GauSei,Specialized,512,0.025,3142368556,0.00194933,0
GauSei,SparseRAJA,512,0.025,8486764064,0.803043,0
GauSei,Specialized,256,0.1,37533753,1,1
GauSei,SparseRAJA,256,0.1,83465712,1,1
GauSei,Specialized,256,0.1,1530938482,0.00389108,0
GauSei,SparseRAJA,256,0.1,4347423732,0.891123,0
GauSei,Specialized,256,0.1,37546617,1,1
GauSei,SparseRAJA,256,0.1,93484297,1,1
GauSei,Specialized,256,0.1,1530987765,0.00389108,0
GauSei,SparseRAJA,256,0.1,4347844956,0.891123,0
GauSei,Specialized,1024,0.00625,45615139,1,1
GauSei,SparseRAJA,1024,0.00625,126936922,1,1
GauSei,Specialized,1024,0.00625,6586458990,0.00195122,0
GauSei,SparseRAJA,1024,0.00625,15809559655,0.681782,0
GauSei,Specialized,512,0.025,38034988,1,1
GauSei,SparseRAJA,512,0.025,98528058,1,1
GauSei,Specialized,512,0.025,3142172408,0.00194933,0
GauSei,SparseRAJA,512,0.025,8486629543,0.803043,0
GauSei,Specialized,256,0.1,37553404,1,1
GauSei,SparseRAJA,256,0.1,87082175,1,1
GauSei,Specialized,256,0.1,1531001401,0.00389108,0
GauSei,SparseRAJA,256,0.1,4348352586,0.891123,0
GauSei,Specialized,256,0.1,37567468,1,1
GauSei,SparseRAJA,256,0.1,86510918,1,1
GauSei,Specialized,256,0.1,1531290414,0.00389108,0
GauSei,SparseRAJA,256,0.1,4348553904,0.891123,0
GauSei,Specialized,512,0.025,37936646,1,1
GauSei,SparseRAJA,512,0.025,97536272,1,1
GauSei,Specialized,512,0.025,3142132453,0.00194933,0
GauSei,SparseRAJA,512,0.025,8486190004,0.803043,0
GauSei,Specialized,1024,0.00625,45525453,1,1
GauSei,SparseRAJA,1024,0.00625,127693609,1,1
GauSei,Specialized,1024,0.00625,6587663636,0.00195122,0
GauSei,SparseRAJA,1024,0.00625,15810277391,0.681782,0
GauSei,Specialized,512,0.025,37926643,1,1
GauSei,SparseRAJA,512,0.025,97686005,1,1
GauSei,Specialized,512,0.025,3142022956,0.00194933,0
GauSei,SparseRAJA,512,0.025,8486972524,0.803043,0
GauSei,Specialized,512,0.025,37978270,1,1
GauSei,SparseRAJA,512,0.025,98645133,1,1
GauSei,Specialized,512,0.025,3141954632,0.00194933,0
